
id,name,slug,notes,created_at
b06e9a31-a285-4e18-82d7-6d33c1e6fda4,"Dominator",dominator,"",2026-03-04T14:48:28.624Z
76e2839a-31b4-4210-975d-e85d920241d7,"Sentinel",sentinel,"",2026-03-04T14:48:28.624Z
f423fb6e-f419-46a5-a452-2a7bb0a2d2d6,"Coquette",coquette,"",2026-03-04T14:48:28.624Z
f991243f-f9ed-43f0-918e-16719fa53e7e,"Baller",baller,"",2026-03-04T14:48:28.624Z
2d7ade00-9de3-4bab-9482-f5db3ea1813e,"Police",police,"",2026-03-04T14:48:28.624Z
1b57ad39-566c-4e5a-a300-2bd59db5b8e0,"Buffalo",buffalo,"",2026-03-04T14:48:28.624Z
f29f724d-98a9-4276-9628-cfe485c82e29,"Itali",itali,"",2026-03-04T14:48:28.624Z
f11da569-680b-4443-afa6-2e5be727ed95,"Comet",comet,"",2026-03-04T14:48:28.624Z
c075f773-9d23-4aff-840f-50e39b4165f5,"Schafter",schafter,"",2026-03-04T14:48:28.624Z
87b24bdd-62d7-4601-ac03-f62ef2b4d61a,"Gauntlet",gauntlet,"",2026-03-04T14:48:28.624Z
0f7da96b-1554-43db-b2ce-c6a650f468ce,"Impaler",impaler,"",2026-03-04T14:48:28.624Z
2f6e66f5-6176-44a4-96a5-10ac04883003,"Cognoscenti",cognoscenti,"",2026-03-04T14:48:28.624Z
44c0e4aa-bf82-436b-a2e4-df07cd3b5fe7,"Weaponized",weaponized,"",2026-03-04T14:48:28.624Z
08a7466b-3fa3-4cd6-827d-1a0103e71114,"Sultan",sultan,"",2026-03-04T14:48:28.624Z
ad5b117d-e5c1-4b12-8f51-a37c9b482a91,"Drift",drift,"",2026-03-04T14:48:28.624Z
087ace05-c10d-4ad2-a330-28f3478e7f64,"Issi",issi,"",2026-03-04T14:48:28.624Z
ddaf1de6-cc78-40c0-ba5a-dd5620c0e491,"Jester",jester,"",2026-03-04T14:48:28.624Z
0c6463fa-62fc-4b8e-a88d-2c07587fec60,"Rapid",rapid,"",2026-03-04T14:48:28.624Z
6bae8218-2700-4c40-8836-b224d7d854fb,"Youga",youga,"",2026-03-04T14:48:28.624Z
4b2dffd3-202e-4e00-b49a-070bafe60f12,"Arena",arena,"",2026-03-04T14:48:28.624Z
baceb4d8-4e6c-4d0a-af37-859e618e2e41,"Banshee",banshee,"",2026-03-04T14:48:28.624Z
af0af074-e4a2-4638-bc6c-5211895719df,"Entity",entity,"",2026-03-04T14:48:28.624Z
61d50b47-5444-496c-8d0e-5c53414ed17c,"Turismo",turismo,"",2026-03-04T14:48:28.624Z
